key_resp.corr,trials.label,trials.startVal,trials.stepSizes,trials.maxVal,trials.minVal,trials.thisIndex,trials.thisRepN,trials.thisN,trials.direction,trials.stepSize,trials.stepType,trials.intensity,ISI.started,key_resp.started,grating.started,grating.stopped,trials.response,participant,session,date,expName,psychopyVersion,frameRate,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,50,49,down,0.01,db,0.047257419622036355,0.0008509000763297081,130.77406529989094,130.77406529989094,131.07404039986432,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,51,50,down,0.01,db,0.04720304381429605,0.0007858998142182827,133.14063979964703,133.14063979964703,133.44076009979472,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,52,51,down,0.01,db,0.04714873057299485,0.0008136001415550709,135.49079069960862,135.49079069960862,135.79080869955942,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,53,52,down,0.01,db,0.04709447982614194,0.0008123000152409077,137.89092009980232,137.89092009980232,138.19065029965714,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,54,53,down,0.01,db,0.047040291501829326,0.0008943001739680767,140.24086809996516,140.24086809996516,140.54069349961355,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,55,54,down,0.01,db,0.04698616552823176,0.0007478003390133381,142.54089879989624,142.54089879989624,142.84062689961866,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,56,55,down,0.01,db,0.04693210183360663,0.0009194002486765385,144.8907770998776,144.8907770998776,145.1906689996831,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,57,56,down,0.01,db,0.04687810034629388,0.0009298999793827534,147.19067279994488,147.19067279994488,147.49055709969252,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,58,57,down,0.01,db,0.046824160994715903,0.0008657998405396938,149.5741130998358,149.5741130998358,149.8741406998597,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
1,cont,0.05,"[0.01, 0.01, 0.005, 0.005]",1.0,0.0,0,59,58,down,0.01,db,0.04677028370737746,0.0008475002832710743,151.87420599954203,151.87420599954203,152.17415370000526,1,861341,001,2022-09-07_19h58.21.358,staircase task,2022.2.4,59.98605916163219,
